shot_id,n_pass_nodes,n_pass_edges,n_passes_prev,pass_density,pass_clustering,pass_avg_path_length,pass_largest_eigenvalue,shooter_in_degree,shooter_out_degree,shooter_betweenness,shooter_eigenvector
7880f03f-39e3-42d7-8e08-93b528d444f4,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
c2f395d9-3c92-4154-a54d-66e551eb8171,7,10,10,0.23809523809523808,0.44761904761904764,,1.618033988749894,1.0,1.0,0.08333333333333333,0.0
b22a05bb-7bca-4d40-b51c-63dec8015de7,9,23,26,0.3194444444444444,0.30795492174855194,1.8333333333333333,3.5929230273129376,5.0,4.0,0.33928571428571425,0.4161967887685252
ea820bf5-a4f6-4791-9d06-43cb8d82096f,9,13,13,0.18055555555555555,0.3259259259259259,,1.7150203054119144,1.0,0.0,0.0,0.0
2044ddc0-90d9-48cd-bfcf-e8d225c3e44b,5,4,4,0.2,0.6,1.5,0.9999999999999999,1.0,1.0,0.08333333333333333,0.0
501acb6c-0849-4bed-912e-ab4610b5b579,6,7,7,0.23333333333333334,0.0,,1.4142135623730951,1.0,0.0,0.0,0.0
5907be90-aea6-47af-be13-2a0597a27cde,7,10,10,0.23809523809523808,0.23809523809523808,,1.4902161200999542,2.0,1.0,0.06666666666666667,0.0
e00bdae8-f038-4591-abb4-cb5475b59639,3,2,2,0.3333333333333333,0.0,,0.0,1.0,0.0,0.0,0.0
ffc38f11-baa3-4c0f-a295-9d1ba06218a8,11,25,27,0.22727272727272727,0.26735514324626664,,2.9941158778151484,1.0,0.0,0.0,0.0
9f87daa3-46c6-4c28-989d-3118a5696f2e,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
ead90328-cf19-4c93-862e-477bba4ecfeb,4,4,4,0.3333333333333333,0.0,,1.0,1.0,0.0,0.0,0.0
b28c5ef8-249c-4de7-9b27-46095fac61e0,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
45875581-d54b-435c-a4c2-ed98908163de,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
df52230a-bb32-4471-8d04-4ed9604296ca,6,5,5,0.16666666666666666,0.0,,0.0,1.0,1.0,0.2,0.0
802a3444-d774-4df6-9d30-4252646f7c5a,2,1,1,0.5,0.0,,0.0,1.0,0.0,0.0,0.0
98e4b110-93f1-4384-9419-ae1179cd7e83,0,0,0,,,,,,,,
203fa3c1-0671-4214-a546-d95489164a58,5,4,4,0.2,0.0,,1.0,1.0,0.0,0.0,0.0
62b6d3db-4b64-44cd-8d42-6c0638df57aa,5,4,4,0.2,0.0,,0.0,1.0,0.0,0.0,0.0
0c7a857c-a2df-4c95-bac3-532f76c9dd0a,5,6,6,0.3,0.0,,1.414213562373095,1.0,0.0,0.0,0.0
c372969f-941d-48c3-9d22-131aa2540e33,7,8,8,0.19047619047619047,0.3095238095238096,,1.3247179572447472,1.0,0.0,0.0,0.0
3f0a202d-43cc-421c-a97a-99d463fdfb94,7,8,8,0.19047619047619047,0.3095238095238096,,1.3247179572447472,1.0,1.0,0.26666666666666666,0.0
d556aae7-7647-4c27-8aa4-f5ccbd034b09,4,3,3,0.25,0.0,,0.0,1.0,0.0,0.0,0.0
55fad6f6-64d5-4bac-9d5b-a5e542384626,6,7,7,0.23333333333333334,0.0,2.6666666666666665,1.2365057033914992,1.0,1.0,0.45,0.29575279739086385
8cc67067-433f-47e4-a1b0-8e0f4fc89d61,6,7,7,0.23333333333333334,0.0,2.6666666666666665,1.2365057033914992,2.0,2.0,0.7000000000000001,0.5591357136006981
